
l: 91000178,	9100017,	9100018,	1,	0x00FFFF
l: 00010112,	0001011,	0001012,	1,	0x00FFFF
l: 00010114,	0001011,	0001014,	1,	0x00FFFF
l: 00010115,	0001011,	0001015,	1,	0x00FFFF
l: 00010123,	0001012,	0001013,	1,	0x00FFFF
l: 00010126,	0001012,	0001016,	1,	0x00FFFF
l: 00010134,	0001013,	0001014,	1,	0x00FFFF
l: 00010137,	0001013,	0001017,	1,	0x00FFFF
l: 00010148,	0001014,	0001018,	1,	0x00FFFF
l: 00010156,	0001015,	0001016,	1,	0x00FFFF
l: 00010158,	0001015,	0001018,	1,	0x00FFFF
l: 00010167,	0001016,	0001017,	1,	0x00FFFF
l: 00010178,	0001017,	0001018,	1,	0x00FFFF
l: 00910112,	0091011,	0091012,	1,	0x00FFFF
l: 00910114,	0091011,	0091014,	1,	0x00FFFF
l: 00910115,	0091011,	0091015,	1,	0x00FFFF
l: 00910123,	0091012,	0091013,	1,	0x00FFFF
l: 00910126,	0091012,	0091016,	1,	0x00FFFF
l: 00910134,	0091013,	0091014,	1,	0x00FFFF
l: 00910137,	0091013,	0091017,	1,	0x00FFFF
l: 00910148,	0091014,	0091018,	1,	0x00FFFF
l: 00910156,	0091015,	0091016,	1,	0x00FFFF
l: 00910158,	0091015,	0091018,	1,	0x00FFFF
l: 00910167,	0091016,	0091017,	1,	0x00FFFF
l: 00910178,	0091017,	0091018,	1,	0x00FFFF
l: 01010112,	0101011,	0101012,	1,	0x00FFFF
l: 01010114,	0101011,	0101014,	1,	0x00FFFF
l: 01010115,	0101011,	0101015,	1,	0x00FFFF
l: 01010123,	0101012,	0101013,	1,	0x00FFFF
l: 01010126,	0101012,	0101016,	1,	0x00FFFF
l: 01010134,	0101013,	0101014,	1,	0x00FFFF
l: 01010137,	0101013,	0101017,	1,	0x00FFFF
l: 01010148,	0101014,	0101018,	1,	0x00FFFF
l: 01010156,	0101015,	0101016,	1,	0x00FFFF
l: 01010158,	0101015,	0101018,	1,	0x00FFFF
l: 01010167,	0101016,	0101017,	1,	0x00FFFF
l: 01010178,	0101017,	0101018,	1,	0x00FFFF
l: 91910112,	9191011,	9191012,	1,	0x00FFFF
l: 91910114,	9191011,	9191014,	1,	0x00FFFF
l: 91910115,	9191011,	9191015,	1,	0x00FFFF
l: 91910123,	9191012,	9191013,	1,	0x00FFFF
l: 91910126,	9191012,	9191016,	1,	0x00FFFF
l: 91910134,	9191013,	9191014,	1,	0x00FFFF
l: 91910137,	9191013,	9191017,	1,	0x00FFFF
l: 91910148,	9191014,	9191018,	1,	0x00FFFF
l: 91910156,	9191015,	9191016,	1,	0x00FFFF
l: 91910158,	9191015,	9191018,	1,	0x00FFFF
l: 91910167,	9191016,	9191017,	1,	0x00FFFF
l: 91910178,	9191017,	9191018,	1,	0x00FFFF
l: 91010112,	9101011,	9101012,	1,	0x00FFFF
l: 91010114,	9101011,	9101014,	1,	0x00FFFF
l: 91010115,	9101011,	9101015,	1,	0x00FFFF
l: 91010123,	9101012,	9101013,	1,	0x00FFFF
l: 91010126,	9101012,	9101016,	1,	0x00FFFF
l: 91010134,	9101013,	9101014,	1,	0x00FFFF
l: 91010137,	9101013,	9101017,	1,	0x00FFFF
l: 91010148,	9101014,	9101018,	1,	0x00FFFF
l: 91010156,	9101015,	9101016,	1,	0x00FFFF
l: 91010158,	9101015,	9101018,	1,	0x00FFFF
l: 91010167,	9101016,	9101017,	1,	0x00FFFF
l: 91010178,	9101017,	9101018,	1,	0x00FFFF
l: 01910112,	0191011,	0191012,	1,	0x00FFFF
l: 01910114,	0191011,	0191014,	1,	0x00FFFF
l: 01910115,	0191011,	0191015,	1,	0x00FFFF
l: 01910123,	0191012,	0191013,	1,	0x00FFFF
l: 01910126,	0191012,	0191016,	1,	0x00FFFF
l: 01910134,	0191013,	0191014,	1,	0x00FFFF
l: 01910137,	0191013,	0191017,	1,	0x00FFFF
l: 01910148,	0191014,	0191018,	1,	0x00FFFF
l: 01910156,	0191015,	0191016,	1,	0x00FFFF
l: 01910158,	0191015,	0191018,	1,	0x00FFFF
l: 01910167,	0191016,	0191017,	1,	0x00FFFF
l: 01910178,	0191017,	0191018,	1,	0x00FFFF
l: 00000012,	0000001,	0000002,	1,	0xFFFF00
l: 00000014,	0000001,	0000004,	1,	0xFFFF00
l: 00000015,	0000001,	0000005,	1,	0xFFFF00
